DISTRITO,AGRUPACION POLITICA,LISTA,VOTOS
TIERRA DEL FUEGO,FRENTE TIERRA DE UNION,CELESTE Y BLANCA,16199
TIERRA DEL FUEGO,UNIR TDF,,12963
TIERRA DEL FUEGO,UNIR TDF,CELESTE,12963
TIERRA DEL FUEGO,FEDERAL FUEGUINO,,5929
TIERRA DEL FUEGO,FEDERAL FUEGUINO,ORGULLO FUEGUINO,5929
TIERRA DEL FUEGO,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR,,5228
TIERRA DEL FUEGO,INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR,FRENTE SOLIDARIO Y POPULAR DE LOS TRABAJADORES,5228
TIERRA DEL FUEGO,INICIATIVA POR LA UNION,,5196
TIERRA DEL FUEGO,INICIATIVA POR LA UNION,ALTERNATIVA PUEBLO FUEGUINO,5196
TIERRA DEL FUEGO,OBRERO,,3158
TIERRA DEL FUEGO,OBRERO,1 ROJA,3158
TIERRA DEL FUEGO,DE LA CULTURA LA EDUCACION Y EL TRABAJO,,2496
TIERRA DEL FUEGO,DE LA CULTURA LA EDUCACION Y EL TRABAJO,PENSANDO COMO VOS,2496
TIERRA DEL FUEGO,POPULAR,,749
TIERRA DEL FUEGO,POPULAR,ACCION POPULAR,749
TIERRA DEL FUEGO,MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR,,652
TIERRA DEL FUEGO,MOVIMIENTO POLITICO SOCIAL Y CULTURAL PROYECTO SUR,CELESTE,652
TIERRA DEL FUEGO,VOTOS POSITIVOS,,89571
TIERRA DEL FUEGO,VOTOS EN BLANCO,,1050
TIERRA DEL FUEGO,VOTOS ANULADOS,,5612
TIERRA DEL FUEGO,VOTOS RECURRIDOS E IMPUGNADOS,,0
TIERRA DEL FUEGO,TOTAL DE  VOTANTES,,96233
SANTA FE,ELECTORES HABILES,,2715608
SANTA FE,FRENTE JUSTICIALISTA,,516803
SANTA FE,FRENTE JUSTICIALISTA,UNIDAD CIUDADANA,321188
SANTA FE,FRENTE JUSTICIALISTA,NUEVO ESPACIO SANTAFESINO,180181
SANTA FE,FRENTE JUSTICIALISTA,COMPROMISO POR SANTA FE,15434
SANTA FE,CAMBIEMOS,,500832
SANTA FE,CAMBIEMOS,CAMBIANDO JUNTOS,500832
SANTA FE,FRENTE PROGRESISTA CIVICO Y SOCIAL,,220728
SANTA FE,FRENTE PROGRESISTA CIVICO Y SOCIAL,ADELANTE,178536
SANTA FE,FRENTE PROGRESISTA CIVICO Y SOCIAL,SUMEMOS POR SANTA FE,42192
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,,114923
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,FUERZA PARA EL CAMBIO,95226
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,ESPERANZA SANTAFESINA,3572
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,NUEVA DEMOCRACIA,3065
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,SALUD COMUNITARIA,2904
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,CIUDADANOS RESPONSABLES,2787
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,UN NUEVO TIEMPO,2374
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,COMPRENSION,2161
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,JUNTOS PARA GANAR,1712
SANTA FE,UNITE POR LA LIBERTAD Y LA DIGNIDAD,FRENTE DE UNIDAD NACIENTE,1122
SANTA FE,1 PROYECTO SANTAFESINO,,78172
SANTA FE,1 PROYECTO SANTAFESINO,RENOVANDO SANTA FE,78172
SANTA FE,POPULAR,,65008
SANTA FE,POPULAR,UNA SANTA FE RENOVADA,46047
SANTA FE,POPULAR,MUJERES UNIDAS,8034
SANTA FE,POPULAR,LA PATRIA SOMOS TODOS,3573
SANTA FE,POPULAR,RED CIUDADANA SANTAFESINA,3326
SANTA FE,POPULAR,PROTAGONISTAS,2313
SANTA FE,POPULAR,MOVIMIENTO DE RENOVACION SANTAFESINA,1715
SANTA FE,CIUDAD FUTURA,,55796
SANTA FE,CIUDAD FUTURA,EL PODER DE LAS MUJERES,55796
SANTA FE,FRENTE SOCIAL Y POPULAR,,54116
SANTA FE,FRENTE SOCIAL Y POPULAR,UNIDAD SOCIAL Y POPULAR,54116
SANTA FE,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,39848
SANTA FE,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,ROJA,39848
SANTA FE,ESPACIO GRANDE,,32985
SANTA FE,ESPACIO GRANDE,CON FE ES POSIBLE,10832
SANTA FE,ESPACIO GRANDE,CIUDADANOS EN RED,8007
SANTA FE,ESPACIO GRANDE,FRENTE IGUALDAD ANIMAL,3667
SANTA FE,ESPACIO GRANDE,FORZA SANTA FE,2508
SANTA FE,ESPACIO GRANDE,VAMOS POR MAS,2103
SANTA FE,ESPACIO GRANDE,SANTA FE PUEDE,2042
SANTA FE,ESPACIO GRANDE,NUEVA PROVINCIA,1909
SANTA FE,ESPACIO GRANDE,LA HORA DEL PUEBLO,429
SANTA FE,ESPACIO GRANDE,POR LOS POBRES,466
SANTA FE,ESPACIO GRANDE,NI UNA -,373
SANTA FE,ESPACIO GRANDE,EL PUEBLO VUELVE,347
SANTA FE,ESPACIO GRANDE,UNIDOS POR LA LIBERTAD,302
SANTA FE,DEL CAMPO POPULAR,,26947
SANTA FE,DEL CAMPO POPULAR,POR LA DECADA GANADA,6278
SANTA FE,DEL CAMPO POPULAR,PROYECTO JOVEN,4648
SANTA FE,DEL CAMPO POPULAR,FRENTE DE LOS JUBILADOS,4438
SANTA FE,DEL CAMPO POPULAR,CREO EN SANTA FE,3964
SANTA FE,DEL CAMPO POPULAR,MAS RENOVADOR,3738
SANTA FE,DEL CAMPO POPULAR,CON TOTAL SEGURIDAD,2789
SANTA FE,DEL CAMPO POPULAR,JUNTOS ES POSIBLE,1092
SANTA FE,AUTONOMISTA,,14835
SANTA FE,AUTONOMISTA,SANTA FE CAMINA,6033
SANTA FE,AUTONOMISTA,JUBILADOS,5519
SANTA FE,AUTONOMISTA,TODOS JUNTOS,3283
SANTA FE,VAMOS JUNTOS,,14431
SANTA FE,VAMOS JUNTOS,JUNTOS POR VOS,7673
SANTA FE,VAMOS JUNTOS,UNIDOS POR LA FE,5043
SANTA FE,VAMOS JUNTOS,AHORA ESTAMOS,1562
SANTA FE,VAMOS JUNTOS,NUEVO AMANECER,153
SANTA FE,UNION CELESTE Y BLANCO,,13683
SANTA FE,UNION CELESTE Y BLANCO,UNIDOS POR SANTA FE,13683
SANTA FE,FEDERAL,,9154
SANTA FE,FEDERAL,RECREO SOCIAL,5614
SANTA FE,FEDERAL,DIGNIDAD CIUDADANA,3540
SANTA FE,MOVIMIENTO INDEPENDIENTE RENOVADOR,,9092
SANTA FE,MOVIMIENTO INDEPENDIENTE RENOVADOR,SANTA FE SEGURA,5966
SANTA FE,MOVIMIENTO INDEPENDIENTE RENOVADOR,DESARROLLO AGRO INDUSTRIAL,3126
SANTA FE,NACIONALISTA CONSTITUCIONAL - UNIR,,6115
SANTA FE,NACIONALISTA CONSTITUCIONAL - UNIR,UNION PARA RENOVAR SANTA FE,6115
SANTA FE,VOTOS POSITIVOS,,1773468
SANTA FE,VOTOS EN BLANCO,,75510
SANTA FE,VOTOS ANULADOS,,104040
SANTA FE,VOTOS RECURRIDOS E IMPUGNADOS,,0
SANTA FE,TOTAL DE  VOTANTES,,1953018
